frames,objects,probability
00:00:00.000000,car,0.9412
00:00:00.000000,car,0.8534
00:00:00.050000,car,0.7203
00:00:00.050000,car,0.9018
00:00:00.050000,truck,0.8898999999999999
00:00:00.100000,car,0.7567
00:00:00.100000,truck,0.8225
00:00:00.150000,,
00:00:00.200000,,
00:00:00.250000,car,0.98
00:00:00.250000,truck,0.7367
00:00:00.300000,car,0.9775
00:00:00.300000,truck,0.7815000000000001
00:00:00.350000,car,0.9629000000000001
00:00:00.350000,truck,0.6972
00:00:00.400000,car,0.963
00:00:00.400000,truck,0.6983
00:00:00.450000,car,0.963
00:00:00.450000,truck,0.6981999999999999
00:00:00.500000,car,0.9209
00:00:00.500000,car,0.9678
00:00:00.550000,car,0.9484999999999999
00:00:00.550000,truck,0.5771999999999999
00:00:00.600000,car,0.8595999999999999
00:00:00.600000,truck,0.40740000000000004
00:00:00.650000,car,0.9573999999999999
00:00:00.650000,car,0.7620999999999999
00:00:00.700000,car,0.9346
00:00:00.700000,car,0.7855
00:00:00.750000,car,0.755
00:00:00.750000,car,0.9278
00:00:00.800000,car,0.8242
00:00:00.800000,car,0.9146
00:00:00.850000,car,0.8262
00:00:00.850000,car,0.9155
00:00:00.900000,car,0.7663
00:00:00.900000,car,0.9196
00:00:00.950000,car,0.7864
00:00:00.950000,car,0.9420999999999999
00:00:01.000000,car,0.7375
00:00:01.050000,car,0.8818
00:00:01.100000,car,0.8048000000000001
00:00:01.100000,car,0.915
00:00:01.150000,car,0.8009000000000001
00:00:01.150000,car,0.9151
00:00:01.200000,car,0.812
00:00:01.200000,car,0.9155
00:00:01.250000,car,0.9016
00:00:01.250000,car,0.8356999999999999
00:00:01.300000,car,0.9023
00:00:01.300000,car,0.8636
00:00:01.350000,car,0.8876999999999999
00:00:01.400000,car,0.9265000000000001
00:00:01.400000,car,0.8719
00:00:01.400000,car,0.8079000000000001
00:00:01.450000,car,0.9262999999999999
00:00:01.450000,car,0.8717
00:00:01.450000,car,0.8081
00:00:01.500000,car,0.8599
00:00:01.500000,car,0.9456
00:00:01.550000,car,0.9079999999999999
00:00:01.550000,car,0.9281
00:00:01.550000,car,0.7428
00:00:01.550000,truck,0.8137000000000001
00:00:01.600000,car,0.8753
00:00:01.600000,car,0.9397
00:00:01.600000,car,0.6990000000000001
00:00:01.650000,car,0.9598
00:00:01.650000,car,0.9492
00:00:01.650000,car,0.7021999999999999
00:00:01.650000,truck,0.8024
00:00:01.700000,car,0.9520000000000001
00:00:01.700000,car,0.9473
00:00:01.700000,car,0.6942
00:00:01.750000,car,0.951
00:00:01.750000,car,0.9468000000000001
00:00:01.750000,car,0.6912
00:00:01.800000,car,0.9462999999999999
00:00:01.800000,car,0.9465
00:00:01.800000,car,0.5183
00:00:01.850000,car,0.7190000000000001
00:00:01.850000,car,0.8837999999999999
00:00:01.900000,car,0.9376000000000001
00:00:01.900000,truck,0.5147999999999999
00:00:01.950000,car,0.6933
00:00:01.950000,car,0.9603
00:00:02.000000,car,0.9637
00:00:02.050000,car,0.9631000000000001
00:00:02.100000,car,0.8703
00:00:02.100000,car,0.9487000000000001
00:00:02.150000,car,0.8803
00:00:02.150000,car,0.9081
00:00:02.200000,car,0.9556999999999999
00:00:02.200000,car,0.8825
00:00:02.250000,car,0.9264
00:00:02.250000,car,0.7943000000000001
00:00:02.300000,car,0.9158
00:00:02.350000,car,0.9168999999999999
00:00:02.400000,car,0.9059
00:00:02.450000,car,0.9311
00:00:02.450000,car,0.8904000000000001
00:00:02.450000,car,0.8975
00:00:02.500000,car,0.9087999999999999
00:00:02.500000,car,0.9079999999999999
00:00:02.550000,car,0.9116
00:00:02.600000,car,0.5687
00:00:02.600000,car,0.8725
00:00:02.650000,car,0.5675
00:00:02.650000,car,0.8718
00:00:02.700000,car,0.5759000000000001
00:00:02.700000,car,0.866
00:00:02.750000,car,0.5771999999999999
00:00:02.750000,car,0.8543999999999999
00:00:02.800000,car,0.5965
00:00:02.800000,car,0.8558
00:00:02.850000,car,0.6973
00:00:02.850000,car,0.8659
00:00:02.900000,car,0.5642
00:00:02.950000,car,0.5644
00:00:02.950000,car,0.9133
00:00:03.000000,car,0.6552
00:00:03.050000,car,0.6239
00:00:03.100000,car,0.6827
00:00:03.100000,car,0.8855
00:00:03.150000,car,0.7021
00:00:03.150000,car,0.8592
00:00:03.200000,car,0.7081999999999999
00:00:03.250000,car,0.7117
00:00:03.300000,car,0.7787999999999999
00:00:03.350000,car,0.9501000000000001
00:00:03.350000,car,0.7475
00:00:03.400000,car,0.9684999999999999
00:00:03.400000,car,0.8206
00:00:03.450000,car,0.9662999999999999
00:00:03.500000,car,0.9220999999999999
00:00:03.550000,car,0.9218000000000001
00:00:03.600000,car,0.9195
00:00:03.650000,car,0.8924
00:00:03.650000,car,0.8112999999999999
00:00:03.700000,car,0.8759
00:00:03.750000,car,0.9107999999999999
00:00:03.750000,car,0.8203
00:00:03.800000,car,0.9175
00:00:03.850000,car,0.9189
00:00:03.900000,car,0.9314
00:00:03.900000,car,0.9487000000000001
00:00:03.950000,car,0.9372
00:00:03.950000,car,0.9308
00:00:04.000000,car,0.972
00:00:04.000000,car,0.9576
00:00:04.050000,car,0.9619
00:00:04.050000,car,0.9564
00:00:04.100000,car,0.986
00:00:04.100000,car,0.9379000000000001
00:00:04.150000,car,0.9859
00:00:04.150000,car,0.9377
00:00:04.200000,car,0.9732999999999999
00:00:04.200000,car,0.9074
00:00:04.250000,car,0.8464
00:00:04.250000,car,0.9205
00:00:04.250000,car,0.9529000000000001
00:00:04.250000,car,0.8824
00:00:04.300000,car,0.9831
00:00:04.300000,car,0.7720999999999999
00:00:04.350000,car,0.9823000000000001
00:00:04.350000,car,0.9283
00:00:04.400000,car,0.9854
00:00:04.450000,car,0.9854999999999999
00:00:04.500000,car,0.9797
00:00:04.500000,car,0.9209999999999999
00:00:04.550000,car,0.9118
00:00:04.550000,car,0.8432999999999999
00:00:04.550000,car,0.9539
00:00:04.600000,car,0.9431999999999999
00:00:04.600000,car,0.9612999999999999
00:00:04.650000,car,0.9873000000000001
00:00:04.650000,car,0.9231999999999999
00:00:04.700000,car,0.9656
00:00:04.750000,car,0.9654
00:00:04.800000,car,0.9687
00:00:04.850000,car,0.9521999999999999
00:00:04.900000,car,0.9401
00:00:04.950000,car,0.9428
00:00:05.000000,car,0.9706
00:00:05.050000,car,0.9706999999999999
00:00:05.100000,car,0.9799
00:00:05.150000,car,0.951
00:00:05.200000,car,0.9786
00:00:05.250000,car,0.9754999999999999
00:00:05.300000,car,0.9736
00:00:05.300000,car,0.8597
00:00:05.350000,car,0.9732999999999999
00:00:05.350000,car,0.8606999999999999
00:00:05.400000,car,0.966
00:00:05.450000,car,0.8573000000000001
00:00:05.450000,car,0.8540000000000001
00:00:05.450000,car,0.9351999999999999
00:00:05.500000,car,0.8344
00:00:05.500000,car,0.9056000000000001
00:00:05.550000,car,0.8843000000000001
00:00:05.550000,car,0.7162000000000001
00:00:05.600000,car,0.8845999999999999
00:00:05.600000,car,0.8438
00:00:05.650000,car,0.8854000000000001
00:00:05.650000,car,0.8423
00:00:05.700000,car,0.9144
00:00:05.700000,car,0.823
00:00:05.750000,car,0.8959999999999999
00:00:05.750000,car,0.823
00:00:05.800000,car,0.8218000000000001
00:00:05.800000,car,0.863
00:00:05.850000,car,0.8115000000000001
00:00:05.850000,car,0.8832
00:00:05.900000,car,0.8672
00:00:05.900000,car,0.7655
00:00:05.950000,car,0.8687
00:00:05.950000,car,0.7656999999999999
00:00:06.000000,car,0.7623000000000001
00:00:06.000000,car,0.8755
00:00:06.050000,car,0.9340999999999999
00:00:06.100000,car,0.8894
00:00:06.150000,car,0.9022
00:00:06.150000,car,0.9174
00:00:06.200000,car,0.9117000000000001
00:00:06.200000,car,0.9309000000000001
00:00:06.250000,car,0.9122
00:00:06.250000,car,0.9305
00:00:06.300000,car,0.9314
00:00:06.300000,car,0.9153
00:00:06.350000,car,0.9225
00:00:06.400000,car,0.9473
00:00:06.400000,car,0.912
00:00:06.400000,car,0.9089
00:00:06.450000,car,0.9259999999999999
00:00:06.450000,car,0.8782
00:00:06.450000,car,0.9626
00:00:06.500000,car,0.9425
00:00:06.500000,car,0.9512999999999999
00:00:06.500000,car,0.9052
00:00:06.550000,car,0.943
00:00:06.550000,car,0.9516
00:00:06.550000,car,0.9031999999999999
00:00:06.600000,car,0.9214
00:00:06.650000,car,0.9346
00:00:06.650000,car,0.9648
00:00:06.650000,car,0.6043999999999999
00:00:06.700000,car,0.9358
00:00:06.700000,car,0.9641
00:00:06.700000,car,0.6143
00:00:06.750000,,
00:00:06.800000,car,0.7179000000000001
00:00:06.850000,car,0.7134999999999999
00:00:06.900000,car,0.9273
00:00:06.900000,car,0.6058
00:00:06.950000,car,0.9389
00:00:07.000000,car,0.6579999999999999
00:00:07.050000,car,0.621
00:00:07.100000,car,0.9515
00:00:07.150000,car,0.9517
00:00:07.200000,,
00:00:07.250000,,
00:00:07.300000,,
00:00:07.350000,car,0.8623000000000001
00:00:07.400000,car,0.8839
00:00:07.450000,car,0.8854000000000001
00:00:07.500000,car,0.7909
00:00:07.550000,,
00:00:07.600000,,
00:00:07.650000,car,0.8484999999999999
00:00:07.700000,car,0.9018
00:00:07.750000,car,0.9026000000000001
00:00:07.800000,,
00:00:07.850000,,
00:00:07.900000,car,0.9023
00:00:07.950000,,
00:00:08.000000,car,0.8558
00:00:08.050000,car,0.8565999999999999
00:00:08.100000,,
